Name,Artist,Composer,Album,Grouping,Genre,Size,Time,Disc Number,Disc Count,Track Number,Track Count,Year,Date Modified,Date Added,Bit Rate,Sample Rate,Volume Adjustment,Kind,Equalizer,Comments,Plays,Last Played,Skips,Last Skipped,My Rating,Location
Throw Some D's (Grove Street Introduction Edit),Rich Boy,,Grove Street Edits,,Purple / Trap,13954861,348,,,,,2012,12/29/2013 2:27,9/18/2012 0:13,320,44100,,MPEG audio file,,,2,3/19/2013 16:47,1,3/16/2014 2:11,,H:\New Computer\Ableton\Chopped & Screwed\Rich Boy - Throw Some D's\Throw Some D's.mp3
Pieces of Gold (Boston Bun Remix),The Aikiu,"Alex Aikiu, Frédéric Soulard & Philippe Laugier",From the Blogs 51,,Lean House,12846244,371,1,1,5,5,2012,3/3/2016 12:24,9/11/2012 23:44,256,44100,,Purchased AAC audio file,,(Boston Bun Remix),1,1/6/2013 20:49,,,,H:\LAPTOP\Other Music\05 Pieces of Gold (Boston Bun Remix).m4a
Pillz (Grove Street Edit),Gucci Mane,,Grove Street Edits,,Purple / Trap,16605586,414,,,,,2012,12/29/2013 2:11,9/17/2012 23:45,320,44100,,MPEG audio file,,,,,,,,H:\New Computer\Ableton\Chopped & Screwed\Gucci Mane - Pillz\Gucci Mane - Pillz.mp3
Rainbow Thorns,Sleepyhead,,From the Blogs 54,,Bass,9915892,246,,,4,6,2012,12/29/2013 2:47,9/11/2012 22:08,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Trap-Snacks-Vol.-5\Trap Snacks Vol. 5 [CJMilli.com]\Rainbow Thorns.mp3
Parked Outside (Grove Street Edit),Jackie Chain Ft. Big K.R.I.T.,,Grove Street Edits,,Purple / Trap,13877376,346,,,,,,12/29/2013 7:48,9/17/2012 22:27,320,44100,,MPEG audio file,,,1,9/18/2012 21:00,,,,H:\New Computer\Ableton\Chopped & Screwed\Parked Outside\Parked Outside (For Your Health Edit.mp3
Hilinner (Gesaffelstein Remix),Crackboy,Get The Curse Music,Man Of Steel,,Electronic,14160394,351,,,3,5,2011,12/29/2013 4:27,9/11/2012 22:08,320,44100,,MPEG audio file,,,,,,,,H:\LAPTOP\Other Music\Crackboy - Master of Steel (GTCM007) [EP] (2011)\Crackboy - Master of Steel (GTCM007) [EP] (2011)\03 Hilinner (Gesaffelstein Remix).mp3
Dance Move (Grove Street's Dancing Edit),Fabolous ft French Montana & Wale,,Grove Street Edits,,Purple / Trap,9200903,229,,,,,,12/29/2013 4:45,9/18/2012 15:21,320,44100,,MPEG audio file,,,3,1/15/2013 23:19,,,,H:\New Computer\Ableton\Chopped & Screwed\Fabolous ft. French Montana - Dance Move\Dance Move.mp3
Work The Walls (Winston Wolfe Remix),Worthy,,NU-BAY$$ EP,,House,11256276,279,,,4,,2012,12/29/2013 8:52,9/11/2012 22:08,320,44100,,MPEG audio file,,,1,9/18/2012 16:01,,,,H:\LAPTOP\Other Music\NUBAYSS\NU-BAY$$ Vol. 1 [AB44]\04_Work The Walls (Winston Wolfe Remix).mp3
Faded (Grove Street Edit),Tyga Feat. Lil Wayne,,Grove Street Edits,,Purple / Trap,123406384,349,,,,,2012,9/20/2012 23:18,9/17/2012 23:30,2822,44100,,WAV audio file,,,,,,,,H:\New Computer\Ableton\Chopped & Screwed\Tyga - Faded\Faded.wav
Mercy (Grove Street Edit),Kanye West,,Grove Street Edits,,Future Garage,7847179,195,,,,,,12/29/2013 5:39,9/17/2012 10:27,320,44100,,MPEG audio file,,,1,9/18/2012 20:43,1,2/27/2016 2:06,100,H:\LAPTOP\Other Music\LOL Boys Edits\LOL Boys Edits\Mercy (LOL Boys Edit).mp3
